Emotion,Statement
anger,accused done something got angry
sadness,think probably never genuine contact parent
shame,ashamed ready seminar internal disease simply assistant professor person deserves high respect
shame,quarelling fellow worker mine vehement irritated told thought plain language ashamed met next day
joy,selected ti x
sadness,father complicated operation long time also long time that know would get it time felt sad
shame,given responsibility grade paper elementary school cheated little graded higher
disgust,school fancy fair stand amnesty international read for first time description torture woman her
guilt,one evening went friend mine although supposed stay home little sister
sadness,quarrel good friend fact pay visit expected come hereafter sad became real quarrel
shame,home husband i made remark something done perfectly friendly manner deed unjust knew husband right therefore sense shame
shame,exaggerating certain circumstance wrong attitude evaluation circumstance
disgust,found cia mining nicaraguan harbor
anger,football match team rude hurt team member me coach prejudiced u punished u unreasonably later fought match cut short
guilt,something unpleasant happens friend relative bottom it
disgust,observing someone cafeteria noisily gulping food extremely bad manner
anger,heard acquaintance mine spreading rumour affair close friend
guilt,forgot collect post friend
anger,overhear people talking saying stupid
disgust,refused transfer school another simply far away house
disgust,saw sort black worm attacked many ant
joy,learnt admitted university
joy,happy difficult time could find support friend fianct happy spiritual moral help gave new power struggle happy then felt soul
joy,uncle gave first year s result opened envelope eye ran two b ec m meant qualified major economics
shame,mother teaching crochet thought highly improper boy town finished neighbour walked in
shame,train drunk person touched baby reacted disapprovingly felt ashamed later person aggressive though could been
shame,made major mistake learning use computer programme teacher criticized me
fear,sleeping alone tent hearing several noise rustling etc afraid people good
guilt,time ago took driving test answer theoretical question well failed practical driving test fault enough practice
fear,mother threatened thrushing stair make comment
disgust,student campus unnecessarily creating trouble heckle authority achieve something concrete interest
shame,spoke without thinking much quite nonsense
disgust,disgusted paranoid attitude towards myself homework university disgusted lack retention especially learning another language
joy,wayne sue close friend announced guardian ther wedding
joy,love guy returned
shame,examination which student found easy could hardly think know answer
joy,december th filled joy told boss selected attend course lilongwe school health scienced lilongwe
disgust,told visit sister holiday short
fear,b a result come
joy,girlfriend became pregnant
joy,one year rather bad relation father last christmas eve invited stay withhim glad it fine evening
shame,wanted boyfriend stay didn t stayed left felt ashamed let leave wanted selfish
joy,fiancee travelled km visit me seen month
joy,end of term party last week fun happy sang drank soft drink possible good time without alcohol
sadness,father child killed accident
fear,spent night friend secondary school told horror story suddenly heard uncanny noise terribly frightened
fear,fear punishment broken item value parent
shame,toilet someone came in
shame,sister became pregnant unza last year
fear,cousin went filmshow night went without making known mother interval came across mother close sat
guilt,car accident hurt three closest family
disgust,oldest sister discovered boyfriend another girl
joy,passed exam required authorized radio tv dealer
shame,colleague met elderly man drunk approached u started undress
shame,cousin farm night drunk like fool made lot noise drunk two much wine
joy,september mce result announced radio heard name done well kept quiet happy even talk
disgust,forced get together strange disgusting classmate thing talked disgusted made feel ill ease knew would feel unhappy stayed defeated social norm
fear,earlier afraid speaking front crowd people
sadness,close friend applied ti admission last year unfortunately failed get admission done graduation together quite involved other wanted master degree together however work expected saddened me
fear,child nightmare time yet able tell anybody it frightened could explain deal myself
sadness,death father
sadness,watching television midnight dear friend called saying father died accident
disgust,disgusted girlfriend s behaviour going boy also friend
fear,talk stranger expecting negative answer
anger,went fair guy drunk kept bothering end got really angry
anger,gone home week end came back found clothes bedding stolen
guilt,feigned sick leave work
guilt,fulfill obligation
anger,shop downtown accept visa card december last year
anger,utterance intended joke taken offence opinion stupid got angry
disgust,woman picked nose spit right next me
fear,father drunk raging home
fear,little fishing boat ran hard weather open sea
fear,little lost control bike started go buay intersection neighbor stopped time
sadness,learnt boy liked girl three year
guilt,splashed child slowing driving puddle water
anger,failed test miserably friend well someone made nasty comment comparing friend
fear,left alone home one night brother
guilt,put needed amount hour work study day feel guilty try make lost time
anger,room mate locked deliberately exam due hour
sadness,shocking news received telegram home telling grandmother passed away go home attend funeral unfortunately found burial already taken place
fear,introducing first tutorial year university
anger,car overtaking another forced drive road
fear,felt afraid receiving question paper part ii exam
disgust,heard someone boasting fortune telling knew lying
disgust,saw fight physical reaction disgust deep perturbation
guilt,rude mother got angry her
shame,found roommate talking behind back personal thing
disgust,class leader getting thing want do
anger,job appointment committee headmaster charge explained male teacher suitable particular post year service male teacher taken consideration could given le attractive job thing gone way headmaster wanted
joy,made debut ullevi ifk gottenburg got good write paper
sadness,woke nightmare
sadness,saying goodbye friend
shame,seaside wave suddenly came took bikini
shame,recently saw young girl fawning man money thing ashamed woman
guilt,child admitted hospital meningitis asked lumber puncture obtain celebral spinal fluid diagnostic purpose since condition already bad child died soon finished procedure
disgust,saw people quarreling bus
guilt,yelling girlfriend felt bad cry upset
sadness,missed train morning felt sad time
disgust,person know tell lie pretending better is
joy,day felt miserable distressed listless cry fit felt happy although special reason
guilt,friend place very busy wanted go bumped person dropped glass beer offered new one accept it
anger,denied job person propsed giving political reason nothing directly professional level
fear,episode fright happened came study stand front still unknown fellow student talk myself hand shook flushed became tongue tied
disgust,man like drunk tried molest me
anger,friend told would better familiar term another friend although opinion reason say thing said hoping would search support that however necessary
guilt,felt guilty found chief leader making noise class
sadness,disappointed love girl made end relationship thought love me
joy,mother sister thinking old time childhood happy time
sadness,son s mother told wanted move vienna take child her mean rather long distance me whole family sad dumbfounded feeling intensified
disgust,saw someone acting false manner public
anger,housing council asked city cut linden tree inhabitant lower floor would view sea
anger,last year secondary school robbed clothes wristwatch pair shoe investigation found thing stolen one boy hostel
fear,girlfriend slept lonely hut we drunk alcool suddenly soil fell u water although tried hard could find cause
guilt,take time make appointment someone
sadness,girl lusted expressed reciprocal feeling day later changed mind
shame,wanted kiss friend succeed felt shame
joy,last year went see friend yugoslavia two girl get along well
joy,passed last exam
fear,fact girl year married guilt disgust fear main factor relationship
fear,watched crime show tv take dog walk then suddenly man porch we live distance away people
fear,father suffered dizziness hospitalized physician know wrong stool black thought could cancer
disgust,buying ticket lost reached destination bus inspector dropped place know
fear,may find stupid let experiment
anger,wanted clear misunderstanding friend caused third person meddled conversation turned effort ridicule succeed intended
anger,accused misdemeanour unjustly
guilt,temporary job restrict others action make obey me often give feeling guilt wish could way acting
shame,took math midterm got back following wednesday class totally low grade
guilt,able help friend
sadness,father gave money brother me
sadness,man loved decided leave forever
disgust,mother s new husband treated brother sister badly
guilt,going around girl without loving her go around her many thing end sincere her
guilt,brother wanted money refused give him two day later stole father
disgust,kissed soembody expect to
guilt,mother always evokes feeling guilt me instance miss last bus know concerned stay awake till arrive
joy,passed successfully preliminary exam participation child assembly
fear,one arranged meet someone person arrives late meantime one start thinking could gone wrong e g traffic accident
anger,come home evening first thing sit smoke cigarette one day found flat totally desolate state girl friend wanted tidy finished
guilt,daughter baby cry taken lap felt nervous moved away went out soon feeling nervousness passed taken enormous feeling guilt rejected daughter
joy,getting top price football pool
guilt,playing ball game made mistake lost game
sadness,closer university left home moved auckland seems left home especially family forever
guilt,yelled parent buying car like parent
